Country,Happiness Score 2019,Happiness Score 2018,Happiness Score 2017,Happiness Score 2016,Happiness Score 2015
Argentina,6.086,6.388,6.59899997711182,6.65,6.574
Romania,6.07,5.945,5.82499980926514,5.528,5.124
Cyprus,6.046,5.762,5.62099981307983,5.546,5.689
Ecuador,6.028,5.973,6.00799989700317,5.976,5.975
Kuwait,6.021,6.083,6.10500001907349,6.239,6.295
Thailand,6.008,6.072,6.42399978637695,6.474,6.455
Latvia,5.94,5.933,5.84999990463257,5.56,5.098
South Korea,5.895,5.875,5.83799982070923,5.835,5.984
Estonia,5.893,5.739,5.61100006103516,5.517,5.429
Jamaica,5.89,5.89,5.31099987030029,5.51,5.709
Mauritius,5.888,5.891,5.62900018692017,5.648,5.477
Japan,5.886,5.915,5.92000007629395,5.921,5.987
Honduras,5.86,5.504,5.18100023269653,4.871,4.788
Kazakhstan,5.809,5.79,5.81899976730347,5.919,5.855
Bolivia,5.779,5.752,5.82299995422363,5.822,5.89
Hungary,5.758,5.62,5.32399988174438,5.145,4.8
Paraguay,5.743,5.681,5.49300003051758,5.538,5.878
Peru,5.697,5.663,5.71500015258789,5.743,5.824
Portugal,5.693,5.41,5.19500017166138,5.123,5.102
Pakistan,5.653,5.472,5.26900005340576,5.132,5.194
Russia,5.648,5.81,5.96299982070923,5.856,5.716
Philippines,5.631,5.524,5.42999982833862,5.279,5.073
Serbia,5.603,5.398,5.39499998092651,5.177,5.123
Moldova,5.529,5.64,5.83799982070923,5.897,5.889
Libya,5.525,5.566,5.52500009536743,5.615,5.754
Montenegro,5.523,5.347,5.23699998855591,5.161,5.192
Tajikistan,5.467,5.199,5.04099988937378,4.996,4.786
Croatia,5.432,5.321,5.29300022125244,5.488,5.759
Dominican Republic,5.425,5.302,5.23000001907349,5.155,4.885
Bosnia and Herzegovina,5.386,5.129,5.18200016021729,5.163,4.949
Turkey,5.373,5.483,5.5,5.389,5.332
Malaysia,5.339,6.322,6.08400011062622,6.005,5.77
Belarus,5.323,5.483,5.56899976730347,5.802,5.813
Greece,5.287,5.358,5.22700023651123,5.033,4.857
Mongolia,5.285,5.125,4.95499992370605,4.907,4.874
Nigeria,5.265,5.155,5.07399988174438,4.875,5.268
Kyrgyzstan,5.261,5.131,5.00400018692017,5.185,5.286
Turkmenistan,5.247,5.636,5.82200002670288,5.658,5.548
Algeria,5.211,5.295,5.87200021743774,6.355,5.605
Morocco,5.208,5.254,5.2350001335144,5.151,5.013
Azerbaijan,5.208,5.201,5.23400020599365,5.291,5.212
Lebanon,5.197,5.358,5.22499990463257,5.129,4.839
Indonesia,5.192,5.093,5.26200008392334,5.314,5.399
China,5.191,5.246,5.27299976348877,5.245,5.14
Vietnam,5.175,5.103,5.07399988174438,5.061,5.36
Bhutan,5.082,5.082,5.01100015640259,5.196,5.253
Cameroon,5.044,4.975,4.69500017166138,4.513,4.252
Bulgaria,5.011,4.933,4.71400022506714,4.217,4.218
Ghana,4.996,4.657,4.11999988555908,4.276,4.633
Ivory Coast,4.944,4.671,4.17999982833862,3.916,3.655
Nepal,4.913,4.88,4.96199989318848,4.793,4.514
Jordan,4.906,5.161,5.33599996566772,5.303,5.192
Benin,4.883,4.141,3.65700006484985,3.484,3.34
Congo (Brazzaville),4.812,4.559,4.29099988937378,4.236,3.989
Gabon,4.799,4.758,4.46500015258789,4.121,3.896
South Africa,4.722,4.724,4.8289999961853,4.459,4.642
Albania,4.719,4.586,4.64400005340576,4.655,4.959
Venezuela,4.707,4.806,5.25,6.084,6.81
Cambodia,4.7,4.433,4.16800022125244,3.907,3.819
Palestinian Territories,4.696,4.743,4.77500009536743,4.754,4.715
Senegal,4.681,4.631,4.53499984741211,4.219,3.904
Niger,4.628,4.166,4.02799987792969,3.856,3.845
Burkina Faso,4.587,4.424,4.03200006484985,3.739,3.587
Armenia,4.559,4.321,4.37599992752075,4.36,4.35
Iran,4.548,4.707,4.69199991226196,4.813,4.686
Guinea,4.534,3.964,3.50699996948242,3.607,3.656
Georgia,4.519,4.34,4.28599977493286,4.252,4.297
Kenya,4.509,4.41,4.55299997329712,4.356,4.419
Mauritania,4.49,4.356,4.29199981689453,4.201,4.436
Tunisia,4.461,4.592,4.80499982833862,5.045,4.739
Bangladesh,4.456,4.5,4.60799980163574,4.643,4.694
Iraq,4.437,4.456,4.49700021743774,4.575,4.677
Congo (Kinshasa),4.418,4.245,4.28000020980835,4.272,4.517
Mali,4.39,4.447,4.19000005722046,4.073,3.995
Sierra Leone,4.374,4.571,4.70900011062622,4.635,4.507
Sri Lanka,4.366,4.471,4.44000005722046,4.415,4.271
Myanmar,4.36,4.308,4.54500007629395,4.395,4.307
Chad,4.35,4.301,3.93600010871887,3.763,3.667
Ukraine,4.332,4.103,4.09600019454956,4.324,4.681
Ethiopia,4.286,4.35,4.46000003814697,4.508,4.512
Uganda,4.189,4.161,4.08099985122681,3.739,3.931
Egypt,4.166,4.419,4.7350001335144,4.362,4.194
Zambia,4.107,4.377,4.51399993896484,4.795,5.129
Togo,4.085,3.999,3.49499988555908,3.303,2.839
India,4.015,4.19,4.31500005722046,4.404,4.565
Liberia,3.975,3.495,3.53299999237061,3.622,4.571
Madagascar,3.933,3.774,3.64400005340576,3.695,3.681
Burundi,3.775,2.905,2.90499997138977,2.905,2.905
Zimbabwe,3.663,3.692,3.875,4.193,4.61
Haiti,3.597,3.582,3.6029999256134,4.028,4.518
Botswana,3.488,3.59,3.76600003242493,3.974,4.332
Syria,3.462,3.462,3.46199989318848,3.069,3.006
Malawi,3.41,3.587,3.97000002861023,4.156,4.292
Yemen,3.38,3.355,3.59299993515015,3.724,4.077
Rwanda,3.334,3.408,3.47099995613098,3.515,3.465
Tanzania,3.231,3.303,3.34899997711182,3.666,3.781
Afghanistan,3.203,3.632,3.79399991035461,3.36,3.575
